CNPJ;Nome;UF do sancionado;Motivo do impedimento;Órgão;Nº do Convênio
00.579.818/0001-00;ASSOCIACAO BENEFICENTE CRISTA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;497961
00.579.818/0001-00;ASSOCIACAO BENEFICENTE CRISTA;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Saúde - Unidades com vínculo direto;507092
00.579.818/0001-00;ASSOCIACAO BENEFICENTE CRISTA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;497513
00.579.818/0001-00;ASSOCIACAO BENEFICENTE CRISTA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;507093
13.651.344/0001-02;ASSOCIACAO BENEFICENTE DOS MORADORES DE COCOS;BA;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Economia - Unidades com vínculo direto;-1
16.256.331/0001-27;ASSOCIACAO BENEFICENTE JOSE CANDIDO ROCHA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;-1
16.256.380/0001-60;ASSOCIACAO BENEFICENTE JOSE ORGETE DA SILVA;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Economia - Unidades com vínculo direto;-1
02.886.623/0001-39;ASSOCIACAO BOAVISTENSE PARA O DESENVOLVIMENTO CULTURAL COMUNITARIO;AM;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;516764
02.886.623/0001-39;ASSOCIACAO BOAVISTENSE PARA O DESENVOLVIMENTO CULTURAL COMUNITARIO;AM;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;516833
09.529.637/0001-44;ASSOCIACAO BRASILEIRA DA INDUSTRIA DE HOTEIS CEARA;CE;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;706527
07.210.669/0001-57;ASSOCIACAO BRASILEIRA DE AGENCIAS DE VIAGENS CEARA;CE;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;702822
07.210.669/0001-57;ASSOCIACAO BRASILEIRA DE AGENCIAS DE VIAGENS CEARA;CE;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;593705
07.210.669/0001-57;ASSOCIACAO BRASILEIRA DE AGENCIAS DE VIAGENS CEARA;CE;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;732039
07.210.669/0001-57;ASSOCIACAO BRASILEIRA DE AGENCIAS DE VIAGENS CEARA;CE;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;729519
84.425.891/0001-18;ASSOCIACAO BRASILEIRA DE AGENCIAS DE VIAGENS DO E DO AP;AP;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;527544
08.818.258/0001-01;ASSOCIACAO BRASILEIRA DE ARTE E CULTURA - ABAC;CE;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;702266
14.483.762/0001-09;ASSOCIACAO BRASILEIRA DE CARIDADE;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;773596
01.065.631/0001-51;ASSOCIACAO BRASILEIRA DE TURISMO RURAL;CE;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;752334
00.550.543/0001-82;ASSOCIACAO BRASILEIRA DOS CLUBES DA MELHOR IDADE DA BAHIA -ABCMI-BA;BA;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;634106
04.254.209/0001-32;ASSOCIACAO CAICARA DE PROMOCAO HUMANA;CE;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;704012
06.155.302/0001-15;ASSOCIACAO CAMOCINENSE DE LIVRE ORIENTACAO SEXUAL;CE;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;601656
07.439.375/0001-00;ASSOCIACAO CEARENSE DE COMBATE AO CANCER;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;-1
00.634.426/0001-05;ASSOCIACAO CEARENSE DE FLORISTAS;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;465507
04.404.093/0001-70;ASSOCIACAO CIENTIFICA DE ESTUDOS AGRARIOS;CE;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;566321
04.404.093/0001-70;ASSOCIACAO CIENTIFICA DE ESTUDOS AGRARIOS;CE;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;663473
07.582.191/0001-96;ASSOCIACAO CIVIL DE DIREITO PRIVADO SEM FINS ECONOMICOS E LUCRATIVOS DOS PRODUTORES DO ASSENTAMENTO NOVA CANAA;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;586806
01.033.312/0001-64;ASSOCIACAO COMUNITARIA BENEFICENTE DE ENC E UMBURANAS;CE;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;715385
02.629.165/0001-52;ASSOCIACAO COMUNITARIA DE ACAO SOCIAL AGAPE;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;565354
02.629.165/0001-52;ASSOCIACAO COMUNITARIA DE ACAO SOCIAL AGAPE;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;701786
35.025.469/0001-60;ASSOCIACAO COMUNITARIA DE BARRA DE SUCATINGA;CE;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;600259
01.409.913/0001-29;ASSOCIACAO COMUNITARIA DE FUNDO DE PASTO DOS PEQUENOS PRODUTORES RURAIS DE DESTERRO E ARREDORES;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;461483
34.943.506/0001-56;ASSOCIACAO COMUNITARIA DO ESTADO DO AMAPA;AP;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;700615
34.943.506/0001-56;ASSOCIACAO COMUNITARIA DO ESTADO DO AMAPA;AP;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;595086
34.943.506/0001-56;ASSOCIACAO COMUNITARIA DO ESTADO DO AMAPA;AP;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703294
34.943.506/0001-56;ASSOCIACAO COMUNITARIA DO ESTADO DO AMAPA;AP;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;701772
34.943.506/0001-56;ASSOCIACAO COMUNITARIA DO ESTADO DO AMAPA;AP;MOTIVO NÃO ESPECIFICADO;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;728545
40.514.952/0001-48;ASSOCIACAO COMUNITARIA DO POVOADO DO DEPARTAMENTO;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;317915
04.643.330/0001-56;ASSOCIACAO COMUNITARIA E CULTURAL STELLAGREICE;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;748555
04.643.330/0001-56;ASSOCIACAO COMUNITARIA E CULTURAL STELLAGREICE;BA;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703298
04.643.330/0001-56;ASSOCIACAO COMUNITARIA E CULTURAL STELLAGREICE;BA;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;737905
13.901.962/0001-63;ASSOCIACAO COMUNITARIA FATIMENSE;BA;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Economia - Unidades com vínculo direto;-1
13.901.962/0001-63;ASSOCIACAO COMUNITARIA FATIMENSE;BA;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Economia - Unidades com vínculo direto;-1
02.094.931/0001-21;ASSOCIACAO COMUNITARIA INDIGENA PATAXO DA COROA VERMELHA;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;598626
04.692.431/0001-17;ASSOCIACAO COMUNITARIA RURAL DOS MORADORES DO SITIO SAO MATEUS, OLHO D'AGUA, EMBURANAS - ADJACENCIAS;CE;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;534755
07.224.701/0001-53;ASSOCIACAO CONSAD-CONS SEG AL DES LOC MAC BATURITE;CE;NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;648148
08.626.395/0001-44;ASSOCIACAO CREDITO DO BRASIL CDB;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;652368
08.626.395/0001-44;ASSOCIACAO CREDITO DO BRASIL CDB;CE;ATRASO NA ENTREGA DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;724139
04.518.315/0001-86;ASSOCIACAO CULTURAL AGENTES DE PASTORAL NEGROS DE VITORIA DA CONQUISTA - MOCAMBO SAO BENEDITO;BA;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;577949
07.950.743/0001-71;ASSOCIACAO CULTURAL ASPIRAL DO REGGAE;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;750189
14.997.860/0001-56;ASSOCIACAO CULTURAL BLOCO CARNAVALESCO ILE AIYE;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Cidadania - Unidades com vínculo direto;538562
08.881.990/0001-26;ASSOCIACAO CULTURAL DA FESTA DE SAO TIAGO;AP;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;750978
04.825.610/0001-85;ASSOCIACAO CULTURAL DESENVOLVIMENTO E ACAO SOCIAL DE DIFUSAO COMUNITARIA E FORMACAO PROFISSIONAL;BA;ATRASO NA DEVOLUCAO DE RECURSOS;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;470756
16.187.817/0001-50;ASSOCIACAO CULTURAL E BENEFICENTE BOM SAMARITANO;BA;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Economia - Unidades com vínculo direto;-1
05.040.434/0001-39;ASSOCIACAO CULTURAL E FOLCLORICA DE ITIUBA;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério do Turismo - Unidades com vínculo direto;592891
13.227.020/0001-41;ASSOCIACAO CULTURAL JACUIPENSE;BA;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;717516
13.227.020/0001-41;ASSOCIACAO CULTURAL JACUIPENSE;BA;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;748403
13.227.020/0001-41;ASSOCIACAO CULTURAL JACUIPENSE;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;704516
13.227.020/0001-41;ASSOCIACAO CULTURAL JACUIPENSE;BA;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;755726
13.227.020/0001-41;ASSOCIACAO CULTURAL JACUIPENSE;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;748392
13.227.020/0001-41;ASSOCIACAO CULTURAL JACUIPENSE;BA;IRREGULARIDADE NA EXECUCAO FISICA DO OBJETO;Ministério da Cidadania - Unidades com vínculo direto;755725
05.412.517/0001-01;ASSOCIACAO CULTURAL OS NEGOES;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;517810
05.412.517/0001-01;ASSOCIACAO CULTURAL OS NEGOES;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;577745
05.412.517/0001-01;ASSOCIACAO CULTURAL OS NEGOES;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;522265
05.412.517/0001-01;ASSOCIACAO CULTURAL OS NEGOES;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;535471
03.425.488/0001-97;ASSOCIACAO DAS COOPERATIVAS DE APOIO A ECONOMIA SOLIDARIA E FAMILIAR;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;651344
03.425.488/0001-97;ASSOCIACAO DAS COOPERATIVAS DE APOIO A ECONOMIA SOLIDARIA E FAMILIAR;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;742895
03.425.488/0001-97;ASSOCIACAO DAS COOPERATIVAS DE APOIO A ECONOMIA SOLIDARIA E FAMILIAR;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;639490
06.281.222/0001-06;ASSOCIACAO DAS ENTIDADES DE APOIO AO DESENVOLVIMENTO SUSTENTAVEL DE PINTADAS -REDE PINTADAS;BA;ATRASO NA DEVOLUCAO DE RECURSOS;Ministério do Meio Ambiente - Unidades com vínculo direto;759571
06.281.222/0001-06;ASSOCIACAO DAS ENTIDADES DE APOIO AO DESENVOLVIMENTO SUSTENTAVEL DE PINTADAS -REDE PINTADAS;BA;NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;740656
06.281.222/0001-06;ASSOCIACAO DAS ENTIDADES DE APOIO AO DESENVOLVIMENTO SUSTENTAVEL DE PINTADAS -REDE PINTADAS;BA;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;649105
06.281.222/0001-06;ASSOCIACAO DAS ENTIDADES DE APOIO AO DESENVOLVIMENTO SUSTENTAVEL DE PINTADAS -REDE PINTADAS;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;773739
02.660.321/0001-48;ASSOCIACAO DAS PROSTITUTAS DA BAHIA;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;557788
08.246.326/0001-05;ASSOCIACAO DAS TRAVESTIS DO AMAZONAS - ATRAAM;AM;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Cidadania - Unidades com vínculo direto;595084
40.638.447/0001-05;ASSOCIACAO DE ARTESAOS DO PILAR;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;589548
13.902.374/0001-44;ASSOCIACAO DE ASSISTENCIA COMUNITARIA DO JUNCO;BA;IRREGULARIDADE NA EXECUCAO FISICA DO OBJETO;Ministério da Justiça e Segurança Pública - Unidades com vínculo direto;-1
04.861.664/0001-04;ASSOCIACAO DE BUGUEIROS E MOTOCICLISTAS DE ARACATI E CANOA QUEBRADA - ABMACQ;CE;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;723135
04.603.743/0001-07;ASSOCIACAO DE CAPACITACAO E APOIO A TRABALHADORES RURAIS DO ESTADO DE ALAGOAS - ACATA;AL;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;494104
04.603.743/0001-07;ASSOCIACAO DE CAPACITACAO E APOIO A TRABALHADORES RURAIS DO ESTADO DE ALAGOAS - ACATA;AL;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;517994
06.016.697/0001-75;ASSOCIACAO DE CAPOEIRA CORDA BAMBA DE LENCOIS;BA;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;534004
02.820.106/0001-67;ASSOCIACAO DE CINEMA E VIDEO DE QUIXADA;CE;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Cidadania - Unidades com vínculo direto;622520
01.894.171/0001-74;ASSOCIACAO DE COOPERACAO AGRICOLA DO ESTADO DE ALAGOAS;AL;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;429917
02.416.632/0001-66;ASSOCIACAO DE COOPERACAO AGRICOLA DO ESTADO DO CEARA;CE;NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;594228
01.051.550/0001-00;ASSOCIACAO DE DESENV COMUNITARIO RE DO LARANJAL;AM;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;356946
06.301.101/0001-89;ASSOCIACAO DE DESENVOLVIMENTO HUMANO E SOCIAL DA BAHIA;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;733669
01.852.738/0001-40;ASSOCIACAO DE DESENVOLVIMENTO SOCIO EDUCATIVO E CULTURAL DA BAHIA;BA;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;739516
63.104.020/0001-22;ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO DA REGIAO SISALEIRA - APAEB;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Cidadania - Unidades com vínculo direto;526460
63.104.020/0001-22;ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO DA REGIAO SISALEIRA - APAEB;BA;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Cidadania - Unidades com vínculo direto;500676
63.104.020/0001-22;ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO DA REGIAO SISALEIRA - APAEB;BA;UTILIZOU OS RECURSOS EM DESACORDO C/PROG TRAB;Ministério da Cidadania - Unidades com vínculo direto;558511
